bichoice,range,home_chg,work_chg,town,highway,gender,state,Region,education,employment,hsincome,hsize,housit,residence,all_cars,ev_cars,home_parking,home_evse,work_parking,work_evse,buycar,zipcode,dmileage,long_dist,Age_category,RUCA
0,1,1,1,3,2,0,Alabama,2,3,1,1,4,2,5,1,0,4,2,2,2,1,36606,70,4,2,1
1,3,10,0,3,4,0,Alabama,2,3,1,1,4,2,5,1,0,4,2,2,2,1,36606,70,4,2,1
0,4,5,5,3,4,0,Alabama,2,3,1,1,4,2,5,1,0,4,2,2,2,1,36606,70,4,2,1
1,1,1,1,1,1,0,Alabama,2,3,1,1,4,2,5,1,0,4,2,2,2,1,36606,70,4,2,1
0,4,3,5,3,3,0,Alabama,2,3,4,2,5,1,1,2,0,3,2,6,2,2,36801,0,1,2,1
0,1,0,5,2,1,0,Alabama,2,3,4,2,5,1,1,2,0,3,2,6,2,2,36801,0,1,2,1
0,2,2,1,1,4,0,Alabama,2,3,4,2,5,1,1,2,0,3,2,6,2,2,36801,0,1,2,1
0,1,1,2,4,1,0,Alabama,2,3,4,2,5,1,1,2,0,3,2,6,2,2,36801,0,1,2,1
0,1,10,3,4,2,0,Alabama,2,3,4,2,5,1,1,2,0,3,2,6,2,2,36801,0,1,2,1
0,4,0,10,1,3,0,Alabama,2,3,4,2,5,1,1,2,0,3,2,6,2,2,36801,0,1,2,1
0,2,2,5,4,1,1,Tennessee,2,2,1,2,4,2,1,4,0,6,1,2,2,1,37083,80,4,2,3
1,3,0,10,4,3,1,Tennessee,2,2,1,2,4,2,1,4,0,6,1,2,2,1,37083,80,4,2,3
1,3,1,0,3,3,1,Tennessee,2,2,1,2,4,2,1,4,0,6,1,2,2,1,37083,80,4,2,3
0,2,20,10,1,4,1,Tennessee,2,2,1,2,4,2,1,4,0,6,1,2,2,1,37083,80,4,2,3
0,2,20,20,3,2,1,Tennessee,2,2,1,2,4,2,1,4,0,6,1,2,2,1,37083,80,4,2,3
0,2,20,0,3,1,1,Tennessee,2,2,1,2,4,2,1,4,0,6,1,2,2,1,37083,80,4,2,3
1,3,10,0,3,3,0,Tennessee,2,2,1,1,1,1,1,1,0,6,2,2,2,2,37110,90,0,2,2
1,4,2,20,2,1,0,Tennessee,2,2,1,1,1,1,1,1,0,6,2,2,2,2,37110,90,0,2,2
1,4,3,5,2,2,0,Tennessee,2,2,1,1,1,1,1,1,0,6,2,2,2,2,37110,90,0,2,2
1,3,5,10,1,3,0,Tennessee,2,2,1,1,1,1,1,1,0,6,2,2,2,2,37110,90,0,2,2
1,4,5,1,2,2,0,Tennessee,2,2,1,1,1,1,1,1,0,6,2,2,2,2,37110,90,0,2,2
0,2,1,20,4,4,0,Tennessee,2,2,1,1,1,1,1,1,0,6,2,2,2,2,37110,90,0,2,2
1,2,1,0,2,2,0,Tennessee,2,3,2,3,5,1,1,2,0,6,2,5,3,3,37122,50,0,2,1
0,1,1,5,1,3,0,Tennessee,2,3,2,3,5,1,1,2,0,6,2,5,3,3,37122,50,0,2,1
1,1,2,20,2,4,0,Tennessee,2,3,2,3,5,1,1,2,0,6,2,5,3,3,37122,50,0,2,1
0,4,1,10,4,4,0,Tennessee,2,3,2,3,5,1,1,2,0,6,2,5,3,3,37122,50,0,2,1
1,3,1,3,2,3,0,Tennessee,2,3,2,3,5,1,1,2,0,6,2,5,3,3,37122,50,0,2,1
1,4,5,0,1,1,0,Tennessee,2,3,2,3,5,1,1,2,0,6,2,5,3,3,37122,50,0,2,1
0,2,20,20,3,2,0,Tennessee,2,3,2,1,3,1,1,1,0,3,2,2,2,1,37129,30,2,2,1
0,1,5,20,4,1,0,Tennessee,2,3,2,1,3,1,1,1,0,3,2,2,2,1,37129,30,2,2,1
